animal_id,district,breed,age_years,hour,temperature,temp_24h_delta,temp_24h_mean,rumination_minutes,rumination_drop_pct,feeding_minutes,feeding_drop_pct,activity_index,activity_drop_pct,health_state,condition,days_to_symptom
MAH-PUN-TAG-1000,PUN,Red Kandhari,5.5,153,38.6,-0.06,38.39,449.4,0.1,251.0,3.5,104.2,-4.2,Healthy,Healthy,-1.0
MAH-PUN-TAG-1000,PUN,Red Kandhari,5.5,231,38.85,0.06,38.61,365.1,18.9,231.9,10.8,106.6,-6.6,Sub-clinical,Mastitis,1.9
MAH-PUN-TAG-1000,PUN,Red Kandhari,5.5,264,38.69,0.13,38.95,323.8,28.0,189.2,27.2,60.3,39.7,Sub-clinical,Mastitis,0.5
MAH-PUN-TAG-1000,PUN,Red Kandhari,5.5,312,39.31,0.18,39.64,272.9,39.4,144.6,44.4,63.6,36.4,Clinical,Mastitis,0.0
MAH-SAN-TAG-1001,SAN,Gir Cross,6.4,50,38.48,-0.03,38.87,498.3,-6.0,232.4,10.6,86.3,13.7,Healthy,Healthy,-1.0
MAH-SAN-TAG-1001,SAN,Gir Cross,6.4,116,38.77,0.09,38.86,443.1,5.7,250.4,3.7,87.1,12.9,Healthy,Healthy,-1.0
MAH-SAN-TAG-1001,SAN,Gir Cross,6.4,137,38.93,-0.06,38.87,441.9,6.0,255.5,1.7,99.9,0.1,Healthy,Healthy,-1.0
MAH-SAN-TAG-1001,SAN,Gir Cross,6.4,180,39.28,0.17,38.84,469.4,0.1,278.2,-7.0,117.3,-17.3,Healthy,Healthy,-1.0
MAH-SAN-TAG-1002,SAN,Gir Cross,6.1,146,38.17,0.06,38.47,533.8,-13.6,238.6,8.2,89.0,11.0,Healthy,Healthy,-1.0
MAH-SAN-TAG-1002,SAN,Gir Cross,6.1,218,38.24,0.08,38.46,526.2,-12.0,236.7,9.0,88.3,11.7,Healthy,Healthy,-1.0
MAH-SAN-TAG-1002,SAN,Gir Cross,6.1,245,38.57,0.26,38.49,537.5,-14.4,258.4,0.6,90.4,9.6,Healthy,Healthy,-1.0
MAH-SAN-TAG-1002,SAN,Gir Cross,6.1,290,38.22,0.04,38.45,519.7,-10.6,243.9,6.2,82.2,17.8,Healthy,Healthy,-1.0
MAH-SOL-TAG-1003,SOL,Dangi,8.7,124,38.34,-0.1,38.52,487.1,-8.2,256.2,1.5,99.6,0.4,Healthy,Healthy,-1.0
MAH-SOL-TAG-1003,SOL,Dangi,8.7,201,38.75,0.05,38.48,432.2,4.0,248.2,4.5,106.9,-6.9,Sub-clinical,Ketosis,1.8
MAH-SOL-TAG-1003,SOL,Dangi,8.7,234,38.29,-0.14,38.39,319.4,29.0,208.9,19.7,94.8,5.2,Sub-clinical,Ketosis,0.4
